sentence_id,token,label
1.0,We,O
1.0,are,O
1.0,looking,O
1.0,for,O
1.0,a,O
1.0,Data,B-JOB_TITLE
1.0,Scientist,I-JOB_TITLE
1.0,to,O
1.0,join,O
1.0,our,O
1.0,Bangalore,B-LOCATION
1.0,office,O
1.0,.,O
1.0,The,O
1.0,ideal,O
1.0,candidate,O
1.0,has,O
1.0,experience,O
1.0,with,O
1.0,Python,B-PROGRAMMING_LANGUAGE
1.0,",",O
1.0,SQL,B-TOOL
1.0,",",O
1.0,and,O
1.0,machine,B-SKILL_TECH
1.0,learning,I-SKILL_TECH
1.0,frameworks,O
1.0,like,O
1.0,TensorFlow,B-FRAMEWORK
1.0,or,O
1.0,PyTorch,B-FRAMEWORK
1.0,.,O
1.0,Employment,O
1.0,type,O
1.0,is,O
1.0,full-time,B-EMPLOYEMENT_TYPE
1.0,.,O
2.0,Infosys,B-COMPANY
2.0,is,O
2.0,hiring,O
2.0,a,O
2.0,Software,B-JOB_TITLE
2.0,Engineer,I-JOB_TITLE
2.0,with,O
2.0,strong,O
2.0,Java,B-PROGRAMMING_LANGUAGE
2.0,and,O
2.0,Spring,B-FRAMEWORK
2.0,Framework,I-FRAMEWORK
2.0,knowledge,O
2.0,.,O
2.0,The,O
2.0,role,O
2.0,is,O
2.0,based,O
2.0,in,O
2.0,Hyderabad,B-LOCATION
2.0,and,O
2.0,requires,O
2.0,good,O
2.0,communication,B-SKILL_TECH
2.0,skills,I-SKILL_TECH
2.0,.,O
2.0,Employment,O
2.0,type,O
2.0,:,O
2.0,full-time,B-EMPLOYEMENT_TYPE
2.0,.,O
3.0,Amazon,B-COMPANY
3.0,is,O
3.0,seeking,O
3.0,a,O
3.0,Backend,B-JOB_TITLE
3.0,Developer,I-JOB_TITLE
3.0,skilled,O
3.0,in,O
3.0,Node.js,B-FRAMEWORK
3.0,",",O
3.0,AWS,B-TOOL
3.0,and,O
3.0,Docker,B-TOOL
3.0,.,O
3.0,This,O
3.0,position,O
3.0,is,O
3.0,located,O
3.0,in,O
3.0,Chennai,B-LOCATION
3.0,.,O
3.0,Candidates,O
3.0,with,O
3.0,1-2,O
3.0,years,O
3.0,of,O
3.0,experience,O
3.0,are,O
3.0,preferred,O
3.0,.,O
3.0,Employment,O
3.0,type,O
3.0,:,O
3.0,contract,B-EMPLOYEMENT_TYPE
3.0,.,O
4.0,We,O
4.0,need,O
4.0,a,O
4.0,Frontend,B-JOB_TITLE
4.0,Developer,I-JOB_TITLE
4.0,proficient,O
4.0,in,O
4.0,React,B-FRAMEWORK
4.0,",",O
